Lance Dragonheart
Exeggcute (Type: Grass, Level: 53, Atk: 66, Def: 28, HP: 182, Agi: 31, Blessing: 0.1)
Charizard (Type: Fire, Level: 13, Atk: 126, Def: 12, HP: 474, Agi: 21, Temperature: 0.05)
Vulpix (Type: Fire, Level: 85, Atk: 82, Def: 44, HP: 198, Agi: 47, Temperature: 0.2)
Lapras (Type: Water, Level: 46, Atk: 143, Def: 29, HP: 491, Agi: 38, Surge_mode: False)
Psyduck (Type: Water, Level: 55, Atk: 67, Def: 29, HP: 183, Agi: 32, Surge_mode: False)
Tangela (Type: Grass, Level: 53, Atk: 66, Def: 28, HP: 182, Agi: 31, Blessing: 0.2)
Seaking (Type: Water, Level: 94, Atk: 127, Def: 51, HP: 359, Agi: 57, Surge_mode: False)
Moltres (Type: Fire, Level: 7, Atk: 123, Def: 9, HP: 471, Agi: 18, Temperature: 0.05)
Dewgong (Type: Water, Level: 8, Atk: 84, Def: 8, HP: 316, Agi: 14, Surge_mode: False)
Paras (Type: Grass, Level: 52, Atk: 66, Def: 28, HP: 182, Agi: 31, Blessing: 0.15)
Goldeen (Type: Water, Level: 14, Atk: 47, Def: 9, HP: 163, Agi: 12, Surge_mode: False)
Ivysaur (Type: Grass, Level: 32, Atk: 96, Def: 20, HP: 328, Agi: 26, Blessing: 0.1)
Croconaw (Type: Water, Level: 25, Atk: 92, Def: 16, HP: 324, Agi: 22, Surge_mode: False)
Magcargo (Type: Fire, Level: 69, Atk: 114, Def: 38, HP: 346, Agi: 44, Temperature: 0.2)
Sceptile (Type: Grass, Level: 18, Atk: 129, Def: 15, HP: 477, Agi: 24, Blessing: 0.2)
Houndoom (Type: Fire, Level: 24, Atk: 92, Def: 16, HP: 324, Agi: 22, Temperature: 0.15)
Typhlosion (Type: Fire, Level: 60, Atk: 150, Def: 36, HP: 498, Agi: 45, Temperature: 0.1)
Omastar (Type: Water, Level: 10, Atk: 85, Def: 9, HP: 317, Agi: 15, Surge_mode: False)
Psyduck_2 (Type: Water, Level: 57, Atk: 68, Def: 30, HP: 184, Agi: 33, Surge_mode: False)
Slowbro (Type: Water, Level: 71, Atk: 115, Def: 39, HP: 347, Agi: 45, Surge_mode: False)
Slowpoke (Type: Water, Level: 13, Atk: 46, Def: 8, HP: 162, Agi: 11, Surge_mode: False)
Grovyle (Type: Grass, Level: 7, Atk: 83, Def: 7, HP: 315, Agi: 13, Blessing: 0.05)
Skiploom (Type: Grass, Level: 12, Atk: 86, Def: 10, HP: 318, Agi: 16, Blessing: 0.1)
Golduck (Type: Water, Level: 22, Atk: 91, Def: 15, HP: 323, Agi: 21, Surge_mode: False)
Poliwhirl (Type: Water, Level: 53, Atk: 106, Def: 30, HP: 338, Agi: 36, Surge_mode: False)
Krabby (Type: Water, Level: 63, Atk: 71, Def: 33, HP: 187, Agi: 36, Surge_mode: False)
Torchic (Type: Fire, Level: 62, Atk: 71, Def: 33, HP: 187, Agi: 36, Temperature: 0.1)
